"chromosome","start","end","width","strand","gene_id","symbol","Log2FC","Pval","FDR"
"chr1",76909,85762,8854,"+","502213","Vom2r3",-0.855963166073394,0.981080639095287,0.995013752388534
"chr1",76909,785885,708977,"+","689403","Vom2r65",-0.0791799650491094,0.0385553642481745,0.257810282681577
"chr1",80483,785885,705403,"+","292438","Vom2r2",-0.0774765505099109,0.0386042695464586,0.257810282681577
"chr1",226465,241532,15068,"-","308248","Vom2r4",-0.394965452528056,0.510419628390523,0.788324806044779
"chr1",775164,785885,10722,"+","678740","Vom2r1",-0.328622784718418,0.0828378534349315,0.365867186004281
"chr1",1161906,1170559,8654,"+","679691","Vom2r5",0.116006441684803,0.295233602354415,0.633450153914864
"chr1",1214085,1222755,8671,"+","308257","Vom2r6",1.19756435168602,0.272975927353833,0.613311387106779
"chr1",1397499,1402656,5158,"-","679825","Raet1ll1",-0.0233938901712508,0.580837470419854,0.828244320962351
"chr1",1979435,1984410,4976,"-","292461","Raet1l",0.482470279933138,0.0167097587780069,0.181620329548624
"chr1",2079604,2108110,28507,"+","292462","Lrp11",0.2962129156509,0.207664332037767,0.547097236011597
"chr1",2111763,2144094,32332,"-","25604","Pcmt1",-0.0942419468272738,0.478555147153222,0.768743927965207
"chr1",2148054,2157887,9834,"+","683983","Nup43",-0.284863893499711,0.0792970132377002,0.357784164931351
"chr1",2160411,2193640,33230,"+","308265","Lats1",0.0832177997267086,0.623121303311782,0.848526218414167
"chr1",2202501,2244132,41632,"+","292464","Katna1",0.0445268601030775,0.70955758194092,0.888270700564883
"chr1",2273637,2306212,32576,"+","361449","Ppil4",0.0697008512030962,0.646740404280125,0.86164520396031
"chr1",2314324,2348819,34496,"+","308266","Zc3h12d",0.0642206210887632,0.661647445993508,0.869153722750399
"chr1",2375478,2424756,49279,"-","308267","Tab2",0.116963152020399,0.996088164806087,0.999354967187787
"chr1",2669592,2962044,292453,"-","361450","Ust",-0.133144448969091,0.0428228002964533,0.270250151563249
"chr1",4041547,4090909,49363,"-","365038","Samd5",0.0759510437442628,0.953420388798385,0.985698524811896
"chr1",4185529,4335101,149573,"-","81022","Stxbp5",0.34275308098223,0.622806061722378,0.848526218414167
"chr1",4946193,4961003,14811,"-","365042","Rab32",-0.370960208200481,0.00484018191256892,0.107654929053192
"chr1",5058292,5453167,394876,"-","24414","Grm1",0.0465724024146307,0.0510266046332498,0.292966900815807
"chr1",5528888,5602536,73649,"+","308282","Shprh",0.228990178335705,0.383396138735927,0.703228520113401
"chr1",5655575,5671456,15882,"+","308283","Fbxo30",0.0774420712495486,0.541428368241393,0.806126080254344
"chr1",5727111,5845102,117992,"+","114005","Epm2a",0.0312790460442301,0.0708059920084303,0.339839030491843
"chr1",6722600,7224313,501714,"-","25600","Utrn",0.0110721265439056,0.696054487731859,0.883807853675174
"chr1",7293427,7320060,26634,"-","292483","Stx11",-0.0325794444766751,0.996680303646887,0.999546468895771
"chr1",7357040,7357752,713,"+","680891","Sf3b5",0.0122151743342094,0.741336881112097,0.903819489801537
"chr1",7477295,7517229,39935,"+","25157","Plagl1",-0.317333039525225,0.180631518584656,0.512058492856551
"chr1",7537291,7565054,27764,"-","100361672","Zc2hc1b",-0.41998915906059,0.0197625297464517,0.194469092093046
"chr1",7565673,7578398,12726,"-","361452","Ltv1",0.266974687811094,0.286024929297894,0.625126500051528
"chr1",7597927,7710740,112814,"-","308291","Phactr2",-0.169514870626818,0.0343838396146912,0.246496853008487
"chr1",7885986,7900777,14792,"+","292485","Fuca2",0.0734769071451469,0.743763912222191,0.904520249506091
"chr1",7912510,7954348,41839,"-","83519","Pex3",0.10558935093163,0.528945574870935,0.80022947001422
"chr1",7954557,7973247,18691,"+","361453","Adat2",-0.000965973183076654,0.820315904405851,0.93827208149043
"chr1",8046430,8268952,222523,"-","292486","Aig1",0.0981206780615922,0.168064947966303,0.500082036800823
"chr1",8359289,8555993,196705,"+","29721","Hivep2",0.253964359070125,0.27249054331627,0.612927967467209
"chr1",9032871,9080600,47730,"-","292640","Vta1",0.295993157334704,0.269289747026503,0.609865511549251
"chr1",9086425,9088138,1714,"-","681263","Gje1",0.356089110342309,0.310848597781747,0.645411203723508
"chr1",9134889,9145462,10574,"+","25264","Nmbr",0.0385611205454344,0.627864363822569,0.850930429968454
"chr1",12312426,12314869,2444,"+","114490","Cited2",0.317554042240532,0.998637789578974,0.99990346200448
"chr1",12404859,12449975,45117,"+","308622","Txlnb",0.419501479122271,0.0244918733989119,0.212787641483222
"chr1",12525135,12538918,13784,"-","308624","Heca",0.428933321052258,0.987533184980958,0.996505564034315
"chr1",12654951,12665143,10193,"-","685045","Abracl",0.162484921103592,0.645836086306894,0.861098320609674
"chr1",12698116,12775561,77446,"+","292944","Reps1",0.224902794138586,0.395022070248409,0.71127631546071
"chr1",12857669,12872706,15038,"-","361454","Ccdc28a",0.342445390403747,0.776591805227479,0.919434499439948
"chr1",13194982,13201777,6796,"-","308632","Hebp2",-0.13123204840392,0.233180849864681,0.571426855966324
"chr1",13542067,13554513,12447,"+","292949","Perp",0.27622664300817,0.110452481313262,0.414001734158949
"chr1",14081259,14083336,2078,"+","293012","Olig3",0.544974596056374,0.361901885902379,0.686327735266415
"chr1",14333265,14351705,18441,"+","116465","Ifngr1",0.111206968829845,0.0934566259678085,0.384249749351728
"chr1",14364489,14377844,13356,"+","444986","Il22ra2",0.163547760114145,0.310691791557283,0.645329688071354
"chr1",14451228,14493602,42375,"+","308716","Il20ra",0.301333570769474,0.263976680459884,0.603983909877837
"chr1",14569687,14573159,3473,"-","308717","Slc35d3",0.263048734166052,0.200620652066754,0.540934329687334
