"chromosome","start","end","width","strand","gene_id","symbol","Log2FC","Pval","FDR"
"chr1",76909,85762,8854,"+","502213","Vom2r3",-1.31162562510498,0.0453150270671109,0.0954807384378899
"chr1",76909,785885,708977,"+","689403","Vom2r65",-0.938505202256635,0.000491379618842578,0.00245267903623771
"chr1",80483,785885,705403,"+","292438","Vom2r2",-0.95231598106554,0.00036899173786656,0.00193191711449799
"chr1",226465,241532,15068,"-","308248","Vom2r4",-0.294685573810369,0.00204876376700109,0.00797858003142408
"chr1",775164,785885,10722,"+","678740","Vom2r1",-1.14011017070887,7.87010340145316e-05,0.000537410349731179
"chr1",1161906,1170559,8654,"+","679691","Vom2r5",-1.00617648102362,0.00731567098108079,0.0223129244333769
"chr1",1214085,1222755,8671,"+","308257","Vom2r6",-0.850483946592804,0.0261995849564607,0.0617043567374308
"chr1",1397499,1402656,5158,"-","679825","Raet1ll1",-0.110046282353681,0.049274706225285,0.101951699675996
"chr1",1979435,1984410,4976,"-","292461","Raet1l",-0.107522875712202,0.663956401548689,0.757566218057516
"chr1",2079604,2108110,28507,"+","292462","Lrp11",0.177455551041281,0.148655016431242,0.244671903223939
"chr1",2111763,2144094,32332,"-","25604","Pcmt1",0.0253925814925467,0.862440487715968,0.905046158358895
"chr1",2148054,2157887,9834,"+","683983","Nup43",0.0355025065198915,0.526928002629108,0.638745003534555
"chr1",2160411,2193640,33230,"+","308265","Lats1",-0.187988823388378,0.473633346585048,0.590729139987359
"chr1",2202501,2244132,41632,"+","292464","Katna1",-0.148401886659736,0.350425496388809,0.473203302905213
"chr1",2273637,2306212,32576,"+","361449","Ppil4",-0.0648888457604228,0.536379814665741,0.647188596082089
"chr1",2314324,2348819,34496,"+","308266","Zc3h12d",-0.387293351416719,0.0167114004949063,0.0428598271516419
"chr1",2375478,2424756,49279,"-","308267","Tab2",-0.296914639911975,0.139904945939914,0.233191163596862
"chr1",2669592,2962044,292453,"-","361450","Ust",-0.0284972698048719,0.962425330151764,0.975797788375488
