"chromosome","start","end","width","strand","gene_id","symbol","Log2FC","Pval","FDR"
"chr1",76909,85762,8854,"+","502213","Vom2r3",-0.672682055358789,0.852436121958866,0.957155764009977
"chr1",76909,785885,708977,"+","689403","Vom2r65",-0.122304813534095,0.527732247747719,0.833096926606453
"chr1",80483,785885,705403,"+","292438","Vom2r2",-0.123756374192591,0.530479123619353,0.833785958133085
"chr1",226465,241532,15068,"-","308248","Vom2r4",-1.41900206657694,0.244138494801511,0.648864183172501
"chr1",775164,785885,10722,"+","678740","Vom2r1",0.799233834979633,0.0112069119825069,0.219923027260322
"chr1",1161906,1170559,8654,"+","679691","Vom2r5",-0.247114096045113,0.327906430891589,0.719931644792344
"chr1",1214085,1222755,8671,"+","308257","Vom2r6",0.508186951128584,0.673286992205432,0.901405894758132
"chr1",1397499,1402656,5158,"-","679825","Raet1ll1",-0.305306170648437,0.883168337293546,0.967771887047097
"chr1",1979435,1984410,4976,"-","292461","Raet1l",-0.268115739728687,0.728461350153474,0.921801139820944
"chr1",2079604,2108110,28507,"+","292462","Lrp11",0.0985271658117714,0.277927133879908,0.67862978555427
"chr1",2111763,2144094,32332,"-","25604","Pcmt1",-0.10253871201077,0.723691599327988,0.920231856561643
"chr1",2148054,2157887,9834,"+","683983","Nup43",-0.0213533481786688,0.735665189013498,0.922929625074708
"chr1",2160411,2193640,33230,"+","308265","Lats1",-0.184913929722734,0.84979339746908,0.95696296231664
"chr1",2202501,2244132,41632,"+","292464","Katna1",-0.273423771321718,0.806094109321409,0.943344077623602
"chr1",2273637,2306212,32576,"+","361449","Ppil4",0.0372861539808911,0.999151874100127,1
"chr1",2314324,2348819,34496,"+","308266","Zc3h12d",1.14505095208444,0.157441138966089,0.560852837154359
"chr1",2375478,2424756,49279,"-","308267","Tab2",0.452575873502388,0.431505413114215,0.784248497655503
"chr1",2669592,2962044,292453,"-","361450","Ust",0.369595828814638,0.968252848502307,0.993630275048157
"chr1",4041547,4090909,49363,"-","365038","Samd5",-0.042539577067465,0.287262789988788,0.685954769852602
"chr1",4185529,4335101,149573,"-","81022","Stxbp5",-0.0300560218046147,0.961851343631608,0.992151453232413
"chr1",4946193,4961003,14811,"-","365042","Rab32",-0.228759100841772,0.544896004100626,0.841339515103448
"chr1",5058292,5453167,394876,"-","24414","Grm1",-0.202253753335559,0.730864463584627,0.921962124706351
"chr1",5528888,5602536,73649,"+","308282","Shprh",-0.0072069904137524,0.781596528287467,0.935896454472438
"chr1",5655575,5671456,15882,"+","308283","Fbxo30",0.0502569032603296,0.211965394860393,0.618289488297136
"chr1",5727111,5845102,117992,"+","114005","Epm2a",0.132577388772192,0.0186540248350073,0.262997602568639
"chr1",6722600,7224313,501714,"-","25600","Utrn",-0.174101928231492,0.919700847068523,0.978730196092586
"chr1",7293427,7320060,26634,"-","292483","Stx11",-0.395799788765461,0.371908844650407,0.747420542829891
"chr1",7357040,7357752,713,"+","680891","Sf3b5",-0.521000438590237,0.819463072788815,0.949179063376639
"chr1",7477295,7517229,39935,"+","25157","Plagl1",-0.184165694155045,0.37296636168439,0.748029737315042
"chr1",7537291,7565054,27764,"-","100361672","Zc2hc1b",-0.917285270924363,0.791404778871629,0.939000552008432
"chr1",7565673,7578398,12726,"-","361452","Ltv1",-0.733959695326056,0.377660097582184,0.750900553708843
"chr1",7597927,7710740,112814,"-","308291","Phactr2",-0.411906565001224,0.685371479482798,0.905205654196395
"chr1",7885986,7900777,14792,"+","292485","Fuca2",-0.0887884025376113,0.774633638758995,0.934133088393432
"chr1",7912510,7954348,41839,"-","83519","Pex3",-0.0151176824552592,0.482779685365559,0.8130277444303
"chr1",7954557,7973247,18691,"+","361453","Adat2",0.387499531413346,0.0227755518806644,0.281133746074293
"chr1",8046430,8268952,222523,"-","292486","Aig1",-0.127297281027401,0.163493191092235,0.5683288146765
"chr1",8359289,8555993,196705,"+","29721","Hivep2",-0.355245407614589,0.0215349946974035,0.276006026409987
"chr1",9032871,9080600,47730,"-","292640","Vta1",0.319707831673863,0.461798167573977,0.801292064228121
"chr1",9086425,9088138,1714,"-","681263","Gje1",-0.103029904878424,0.506308099579886,0.824037987047086
"chr1",9134889,9145462,10574,"+","25264","Nmbr",0.140733701265269,0.512831195855264,0.826620702892778
"chr1",12312426,12314869,2444,"+","114490","Cited2",-0.450951443020414,0.106239175254874,0.489775570153305
"chr1",12404859,12449975,45117,"+","308622","Txlnb",0.0853101354943788,0.505055962265641,0.823373768158794
"chr1",12525135,12538918,13784,"-","308624","Heca",-0.382071607091967,0.0955735140712198,0.470998557809379
"chr1",12654951,12665143,10193,"-","685045","Abracl",-0.23782348835971,0.287237923462956,0.685954769852602
"chr1",12698116,12775561,77446,"+","292944","Reps1",-0.204447645802471,0.887089749946226,0.968227958259825
"chr1",12857669,12872706,15038,"-","361454","Ccdc28a",-0.0078931632622382,0.938107350021942,0.985488746841968
"chr1",13194982,13201777,6796,"-","308632","Hebp2",-0.0669660107997352,0.663624527383555,0.897084866510421
"chr1",13542067,13554513,12447,"+","292949","Perp",0.437940782014667,0.292551221416427,0.691033951544202
"chr1",14081259,14083336,2078,"+","293012","Olig3",0.26263734050479,0.508485401143879,0.824637112570505
"chr1",14333265,14351705,18441,"+","116465","Ifngr1",0.44587763390882,0.0252880991565896,0.292036415533262
"chr1",14364489,14377844,13356,"+","444986","Il22ra2",0.603491654066212,0.637861075307989,0.886648494557421
"chr1",14451228,14493602,42375,"+","308716","Il20ra",1.07414761725123,0.0201838985115341,0.271602019661771
"chr1",14569687,14573159,3473,"-","308717","Slc35d3",0.113879292246932,0.11193347436025,0.499437449841399
"chr1",14582698,14646686,63989,"-","308718","Pex7",-0.0780532999290329,0.883591026855859,0.967771887047097
"chr1",14686358,14903639,217282,"+","365057","Map3k5",-0.446386604082605,0.782304397615631,0.936097970754182
"chr1",14910553,15037574,127022,"+","293016","Map7",-0.0854025135706466,0.84246418343403,0.955842578618692
"chr1",15088536,15115321,26786,"+","293017","Bclaf1",-0.0984377232456425,0.989424542715186,0.999272776074482
"chr1",15123232,15138632,15401,"+","100911069","Mtfr2",0.400193319799936,0.00179602545375492,0.129941358754188
"chr1",15182710,15492900,310191,"-","140929","Pde7b",0.116466735840635,0.00136065158098952,0.122146758748171
"chr1",15768047,15886744,118698,"+","308923","Ahi1",-0.243976959931793,0.174881685517379,0.581470759745438
"chr1",16092607,16170069,77463,"+","293408","Hbs1l",-0.176748998483876,0.800989963227563,0.941838805614272
"chr1",16183940,16203383,19444,"+","685750","Aldh8a1",-0.465151592161684,0.733905129687872,0.922064224220682
"chr1",16738896,17236687,497792,"-","360302","Ptprk",-0.0505119860410261,0.872695614393263,0.963359544939631
"chr1",18403535,18551900,148366,"-","293947","Arhgap18",-0.226694254070949,0.963139062689032,0.992452354553794
"chr1",19118997,19147832,28836,"-","685940","Samd3",-0.155469732862991,0.348959218405203,0.732822769333461
"chr1",19323997,19404911,80915,"+","498987","Tmem200a",-0.113632044183703,0.214439619440304,0.619397448759612
"chr1",19837390,19858906,21517,"+","686032","Smlr1",0.0656983403992575,0.213803355793018,0.619008692225512
"chr1",20087490,20215963,128474,"+","361458","Akap7",-0.0736031599667181,0.550012302967531,0.844227463358777
"chr1",20475968,20488420,12453,"+","29221","Arg1",0.22511899032632,0.0787926703259522,0.442356798817278
"chr1",20490315,20537463,47149,"-","309565","Med23",0.261532563860222,0.609844904368496,0.875114568594308
"chr1",20563700,20635043,71344,"+","54410","Enpp3",-0.197853159511774,0.713569289290669,0.916604631813298
"chr1",20698770,20762505,63736,"+","85496","Enpp1",0.151268225380625,0.266094664362324,0.667477417759877
"chr1",20802200,20805315,3116,"-","64032","Ccn2",0.181563116209549,0.0148161990756117,0.240958666787135
"chr1",21197081,21237213,40133,"-","60466","Stx7",-0.227893582767197,0.762147504763647,0.929664175977272
