"chromosome","start","end","width","strand","gene_id","symbol","Log2FC","Pval","FDR"
"chr1",76909,85762,8854,"+","502213","Vom2r3",-1.49281523141779,0.174667582873848,0.572048049393603
"chr1",76909,785885,708977,"+","689403","Vom2r65",-0.31762099130909,0.416825675870036,0.764757114791897
"chr1",80483,785885,705403,"+","292438","Vom2r2",-0.31799086461948,0.41698325824132,0.764757114791897
"chr1",226465,241532,15068,"-","308248","Vom2r4",-1.40998097110719,0.0738351583599291,0.423857740585782
"chr1",775164,785885,10722,"+","678740","Vom2r1",-0.179178557733075,0.25466364577508,0.652924080874416
"chr1",1161906,1170559,8654,"+","679691","Vom2r5",-0.863040402851404,0.0641458045941386,0.406752566232046
"chr1",1214085,1222755,8671,"+","308257","Vom2r6",-0.468140420852793,0.144466061333554,0.539838498269991
"chr1",1397499,1402656,5158,"-","679825","Raet1ll1",-0.631112564970884,0.0262115780155122,0.299010708621148
"chr1",1979435,1984410,4976,"-","292461","Raet1l",-0.345266704615383,0.343437742401481,0.719552405992531
"chr1",2079604,2108110,28507,"+","292462","Lrp11",0.292518597223412,0.139369476495956,0.535466791209432
"chr1",2111763,2144094,32332,"-","25604","Pcmt1",-0.0133542619087029,0.634461457363489,0.877267803016955
"chr1",2148054,2157887,9834,"+","683983","Nup43",0.0437303927969402,0.758937103172793,0.925825238230282
"chr1",2160411,2193640,33230,"+","308265","Lats1",-0.241307847740622,0.814514557546602,0.946378006902914
"chr1",2202501,2244132,41632,"+","292464","Katna1",-0.0910103061067721,0.304416089969973,0.690737306837445
"chr1",2273637,2306212,32576,"+","361449","Ppil4",0.501609497357089,0.0220636551712738,0.286689474071944
"chr1",2314324,2348819,34496,"+","308266","Zc3h12d",0.874249885216702,0.109928027216419,0.492586870892686
"chr1",2375478,2424756,49279,"-","308267","Tab2",0.608739666747665,0.0398948479579999,0.346695101391059
"chr1",2669592,2962044,292453,"-","361450","Ust",0.167847919013748,0.350190893904624,0.726279063538257
"chr1",4041547,4090909,49363,"-","365038","Samd5",-0.232310318076961,0.842133445112039,0.956904412317685
"chr1",4185529,4335101,149573,"-","81022","Stxbp5",0.0497453373630884,0.673080047794816,0.892075900753674
"chr1",4946193,4961003,14811,"-","365042","Rab32",-0.479837405957804,0.704228291609623,0.903270891328031
"chr1",5058292,5453167,394876,"-","24414","Grm1",-0.12818196697994,0.274075637476682,0.667209185587589
"chr1",5528888,5602536,73649,"+","308282","Shprh",-0.117461235990905,0.325837818754743,0.706258445832676
"chr1",5655575,5671456,15882,"+","308283","Fbxo30",0.151577745884102,0.0291099017191675,0.312416422142942
"chr1",5727111,5845102,117992,"+","114005","Epm2a",0.10365290126065,0.358627104605169,0.730409758031127
"chr1",6722600,7224313,501714,"-","25600","Utrn",-0.314106615465011,0.138102477962765,0.532855578688192
"chr1",7293427,7320060,26634,"-","292483","Stx11",-0.410330212508844,0.0296068737956093,0.314268946436656
"chr1",7357040,7357752,713,"+","680891","Sf3b5",-0.23757347397179,0.724973030924551,0.912034167158924
"chr1",7477295,7517229,39935,"+","25157","Plagl1",-0.470664025390938,0.259659451441761,0.656903345682216
"chr1",7537291,7565054,27764,"-","100361672","Zc2hc1b",-0.562921937648534,0.685699579825587,0.895708236997846
"chr1",7565673,7578398,12726,"-","361452","Ltv1",-0.572536857610213,0.627374701442423,0.873857427661475
"chr1",7597927,7710740,112814,"-","308291","Phactr2",-0.218472085981625,0.405264205133234,0.759067083680828
"chr1",7885986,7900777,14792,"+","292485","Fuca2",-0.238946984955254,0.400262359978022,0.75473502031231
"chr1",7912510,7954348,41839,"-","83519","Pex3",0.403114837918487,0.0424932528744068,0.356468322384701
"chr1",7954557,7973247,18691,"+","361453","Adat2",0.510743808229469,0.0261859045573011,0.299010708621148
"chr1",8046430,8268952,222523,"-","292486","Aig1",-0.199854857525262,0.794180930902218,0.939266831376391
"chr1",8359289,8555993,196705,"+","29721","Hivep2",-0.111723094315841,0.717769365963641,0.908740307978649
"chr1",9032871,9080600,47730,"-","292640","Vta1",0.392500581924646,0.0432989850030283,0.358961160433873
"chr1",9086425,9088138,1714,"-","681263","Gje1",-0.305771978398439,0.616218309684144,0.867996371788017
"chr1",9134889,9145462,10574,"+","25264","Nmbr",-0.523745423813513,0.022973438721715,0.289585000956462
"chr1",12312426,12314869,2444,"+","114490","Cited2",-0.176792075039574,0.585597275958005,0.856006199774605
"chr1",12404859,12449975,45117,"+","308622","Txlnb",-0.298657402495996,0.776788030636005,0.933644607463262
"chr1",12525135,12538918,13784,"-","308624","Heca",-0.0528740720221054,0.621352135870381,0.870531912723284
"chr1",12654951,12665143,10193,"-","685045","Abracl",0.0180968402662109,0.897613248816358,0.973333489780546
"chr1",12698116,12775561,77446,"+","292944","Reps1",0.0604921381614763,0.0573868836457744,0.394803649223789
"chr1",12857669,12872706,15038,"-","361454","Ccdc28a",0.0359666140042721,0.598531942628212,0.860397345123509
"chr1",13194982,13201777,6796,"-","308632","Hebp2",-0.0238468908640257,0.779526636537603,0.934504122487899
"chr1",13542067,13554513,12447,"+","292949","Perp",0.261140002228181,0.758420825535759,0.925777404838498
"chr1",14081259,14083336,2078,"+","293012","Olig3",-0.309410085231507,0.183610702859596,0.582359207230594
"chr1",14333265,14351705,18441,"+","116465","Ifngr1",0.380393059839024,0.00618868752484639,0.185889744142076
"chr1",14364489,14377844,13356,"+","444986","Il22ra2",0.655153948081038,0.419545960887139,0.765496217382784
"chr1",14451228,14493602,42375,"+","308716","Il20ra",1.11622578812354,0.167531607057612,0.561920184504901
"chr1",14569687,14573159,3473,"-","308717","Slc35d3",-0.0887515428761713,0.284120343509773,0.674157658613664
"chr1",14582698,14646686,63989,"-","308718","Pex7",-0.160167090370604,0.834189772801587,0.954362138525555
"chr1",14686358,14903639,217282,"+","365057","Map3k5",-0.211061851573561,0.63516854958236,0.877433802664757
"chr1",14910553,15037574,127022,"+","293016","Map7",0.0609898105166558,0.600015688481794,0.86107608769171
"chr1",15088536,15115321,26786,"+","293017","Bclaf1",0.1903486920204,0.0141886457680925,0.246185599895452
"chr1",15123232,15138632,15401,"+","100911069","Mtfr2",0.414807191172754,0.0132177871863807,0.241285133254794
"chr1",15182710,15492900,310191,"-","140929","Pde7b",-0.0212303933379744,0.814246506402365,0.946318743946238
"chr1",15768047,15886744,118698,"+","308923","Ahi1",-0.184124248105078,0.323364894666178,0.704231239133136
"chr1",16092607,16170069,77463,"+","293408","Hbs1l",-0.228574836877464,0.705142270208758,0.903654562061709
"chr1",16183940,16203383,19444,"+","685750","Aldh8a1",-0.301403021290986,0.714812973010303,0.907356096502012
"chr1",16738896,17236687,497792,"-","360302","Ptprk",-0.0526016516206259,0.80919794637891,0.944416994933669
"chr1",18403535,18551900,148366,"-","293947","Arhgap18",-0.105176597467175,0.473013161097999,0.801506181682384
"chr1",19118997,19147832,28836,"-","685940","Samd3",-0.744520115363622,0.0629450076965763,0.40549974839281
"chr1",19323997,19404911,80915,"+","498987","Tmem200a",-0.413032794047407,0.117862481581316,0.501975321529611
"chr1",19837390,19858906,21517,"+","686032","Smlr1",-0.112773547716432,0.211313917565001,0.613114258952228
"chr1",20087490,20215963,128474,"+","361458","Akap7",-0.112519562469862,0.618834487393132,0.868931616434939
